"ID","Pillar","Title","Primary Keyword","Secondary Keywords","Funnel Stage","Item Type","Audience","Language","Roadmap-Dependent","Description"
"41","openBIM literacy","What Is IDS (Information Delivery Specification) and How It Stops 'Garbage In' BIM Models Before They Reach the Field","IDS information delivery specification","buildingSMART IDS; IDS BIM validation; information delivery specification explained; IFC model requirements","ToFu","Educational","BIM-manager","EN","N","Models arrive missing the exact property sets, classifications and identifiers that downstream QA and compliance work depend on, and nobody catches it until a check fails on site. This guide introduces IDS as the buildingSMART standard for specifying machine-checkable model requirements, and contrasts it with informal PDF model-requirement documents. BimDossier shows why this discipline matters in practice: its automated BBL/Wkb compliance engine runs rule packs against the model's IFC data, so the cleaner and more complete the incoming IFC properties are, the more of the regulatory check it can answer automatically rather than flagging gaps for manual review."
"42","Wkb filings","Samenwerken met je kwaliteitsborger: wat lever je aan en hoe voorkom je heen-en-weer","samenwerken met kwaliteitsborger","wat levert de kwaliteitsborger; aannemer kwaliteitsborger afstemming; bevindingen kwaliteitsborger","MoFu","Problem->Solution","Aannemer","NL","N","De afstemming tussen aannemer en kwaliteitsborger verzandt vaak in e-mails: wie levert welk bewijs, wanneer en in welke vorm? BimDossier geeft beide partijen één gedeelde projectomgeving met rolgebaseerde toegang (inspector), gedeelde bevindingen met fotobewijs en een gezamenlijke dossier-checklist. Feature: rolgebaseerde toegang + findings + dossier-checklist."
"43","Field & snagging","Offline inspecteren op de bouwplaats: bevindingen vastleggen zonder dekking","offline inspectie app bouw","offline snagging app; bevindingen zonder internet; bouwplaats geen bereik; offline sync inspectie","MoFu","Problem->Solution","Uitvoerder","NL","Y","Op grote of afgelegen bouwlocaties valt de dekking weg, waardoor inspecteurs bevindingen op papier noteren en later met fouten overtypen. BimDossier biedt vandaag een mobiele inspectie-app met ingebedde viewer en fotobewijs; offline-first sync staat op de roadmap als de logische volgende stap zodat opnames lokaal worden vastgelegd en automatisch synchroniseren zodra er weer verbinding is. Dit artikel beschrijft eerlijk wat nu al kan en hoe de offline-visie betrouwbaar veldwerk zonder bereik mogelijk maakt."
"44","Dossier & handover","Boetes en vertraging bij de gereedmelding voorkomen: de 5 meest gemiste documenten","gereedmelding Wkb","gereedmelding 10 werkdagen; gereedmelding documenten; gereedmelding fout voorkomen; dossier gereedmelding","BoFu","Problem->Solution","Aannemer","NL","N","De gereedmelding moet binnen 10 werkdagen na oplevering compleet bij het bevoegd gezag liggen, maar ontbrekende certificaten of een onvolledig dossier leiden tot afkeuring, vertraging en mogelijk een bouwstop. Het artikel benoemt de vijf meest vergeten documenten en laat zien hoe BimDossier dit afdekt met de deadlinetracker (e-mailherinneringen T-30/-14/-7/-1) en de dossier-gereedheidschecklist die de gereedmelding gated op compleetheid."
"45","BIM for QA","Van bevinding naar BBL-artikel: hoe een snag op een IFC-element je Wkb-dossier opbouwt","wkb dossier opbouwen","bevinding ifc element koppelen; model-based dossier wkb; bbl artikel koppelen bevinding; wkb borging bim","MoFu","Problem->Solution","Aannemer","NL","N","De uitdaging: bevindingen op de bouwplaats verdwijnen in losse foto's, Excel en e-mails, los van het model en zonder traceerbare koppeling naar het Bbl-artikel dat geraakt wordt. BimDossier lost dit op doordat bevindingen via de findings-management module worden verankerd aan een IFC-element (global_id) in de 3D-viewer, met severity, assignee, fotobewijs en resolutielevenscyclus. De visie (roadmap) is dat een snag op een 2D-tekening straks automatisch resolved naar het IFC-element en het BBL/Wkb-artikel auto-tagt — de killer-fusie die het dossier vanzelf opbouwt."
"46","BCF collaboration","BCF 2.1 vs BCF 3.0: What Changed and What It Means for Handing Issues Between Tools","bcf 2.1 vs bcf 3.0","bcf versions compared; bcf interoperability; bcf import export; buildingsmart bcf standard","MoFu","Comparison","BIM-coordinator","EN","Y","Teams use different authoring tools and lose comment history when issues jump between them because of version mismatches. This comparison covers BCF 2.1 vs 3.0 (server/file variants, topic and comment changes) and why a neutral round-trip matters. BimDossier's BCF import/export (backend largely in place, UI wiring coming) is being built so coordinators can pull issues in from any BCF-capable tool and push findings back out without retyping the list."
"47","BBL technical","BBL-eisen controleren in je BIM-model: van bouwbesluit-tekst naar pass/fail per IFC-element","bbl eisen controleren","bouwbesluit eisen; model checking bbl; automatische toetsing bouwbesluit; bbl toetsing bim","MoFu","Educational","Kwaliteitsborger","NL","N","Een kwaliteitsborger moet aantonen dat een bouwwerk aan de BBL-eisen voldoet, maar de regels staan als functionele tekst verspreid over hoofdstukken en moeten handmatig tegen tekeningen worden gelegd. BimDossier vertaalt die eisen naar machine-leesbare regelpakketten en draait ze met de geautomatiseerde BBL/Wkb-toetsingsengine direct over het IFC-model, zodat je per element een pass/fail-uitkomst krijgt met de overtreden regel erbij. Dat maakt de toets reproduceerbaar in plaats van een handmatige interpretatie."
"48","Quantity takeoff","Welke eenheid staat er eigenlijk in je IFC? Hoe verkeerde lengte-eenheden je hoeveelheden 1000x fout maken","ifc eenheden lengte unit","ifc length unit mm m; unitsincontext ifc; verkeerde hoeveelheden ifc schaal; ifc unit takeoff fout","MoFu","Problem->Solution","Werkvoorbereider","NL","N","Een klassieke takeoff-blunder: het ene model exporteert in millimeters, het andere in meters, en zonder de eenheid uit UnitsInContext te lezen zijn volumes een factor 10^9 fout. BimDossier extraheert de lengte-eenheid expliciet uit de IFC-projectheader tijdens de metadata-walk en toont schema en eenheid in het Model Info-paneel, zodat je hoeveelheden in de juiste schaal interpreteert voordat ze in een raming belanden. De feature is de metadata-extractie (project header + lengthUnit) met de ModelInfo-weergave in de viewer."
"49","PDF<->IFC docs","Drawing-pinned snags die zichzelf koppelen aan het IFC-element: het einde van losse PDF-markups","pdf snagging gekoppeld aan bim","drawing markup bouw; snag op tekening; bevinding koppelen aan ifc element","MoFu","Problem->Solution","Aannemer","NL","Y","Snags die op een PDF-markup worden geprikt raken los van het model, dus niemand weet later welk bouwdeel het betrof of welke BBL/Wkb-eis erbij hoort. BimDossier verankert bevindingen vandaag al aan een IFC-element via global_id met severity, toewijzing en foto-bewijs in de 3D-viewer. De visie waar we naartoe bouwen: een snag op een 2D-PDF die automatisch oplost naar datzelfde IFC-element en het BBL/Wkb-artikel auto-tagt, zodat de 2D-werkvloer en het 3D-dossier eindelijk dezelfde taal spreken."
"50","Ops & digital","Klantverhaal: hoe een aannemer zijn eerste gevolgklasse-1 dossier in BimDossier opbouwde","wkb klantverhaal aannemer","wkb praktijkvoorbeeld; bimdossier case study; gevolgklasse 1 ervaring","BoFu","Thought-leadership","Aannemer","NL","N","Een feature-lijst overtuigt minder dan een echt project. Dit klantverhaal volgt een aannemer van projectaanmaak tot ingediend dossier bevoegd gezag, met de knelpunten die BimDossier wegnam: gemiste deadlines, zoekgeraakte certificaten en losse bevindingen. Template-format voor toekomstige klantverhalen. Feature: projectwizard + deadline reminders + dossier-checklist + findings."
"51","Quantity takeoff","Type vs instance properties in IFC: why your door schedule comes up empty","ifc type properties vs instance","ifcrelDefinesbytype; type object property set; ifcdoortype properties; takeoff missing properties","MoFu","Educational","Werkvoorbereider","EN","N","A common takeoff failure: instances inherit fire ratings, widths and material from an IfcTypeObject (IfcDoorType, IfcWallType) via IfcRelDefinesByType, so reading only instance-level psets returns blanks and the schedule looks empty. BimDossier resolves both axes - it walks IfcRelDefinesByType and merges type-level property sets and attributes onto every instance, labelling them as Type properties in the inspector so you see the inherited values that drive any quantity or compliance check. The feature is the property-extraction step (type + instance merge) surfaced in the multi-select properties panel."
"52","PDF<->IFC docs","From drawing markup to BCF: structured issue exchange between your 2D world and the model","bcf issue management construction","bcf 2.1 3.0 workflow; drawing markup to bcf; openbim issue exchange","MoFu","Educational","BIM-manager","EN","Y","Issues raised on a marked-up PDF stay trapped in email threads, while model-based issues live in BCF — so the two coordination channels never reconcile and rework slips through. This article explains how BCF (BIM Collaboration Format) gives drawing comments a model-anchored home with viewpoints and topics. BimDossier already manages model-anchored findings against IFC global_ids; BCF 2.1/3.0 import/export is on our roadmap (backend largely built, wiring up) to bring those 2D-origin issues into the same structured stream."
"53","BBL technical","Brandveiligheid toetsen aan het BBL: brandcompartimentering en vluchtroutes uit je IFC-model halen","brandveiligheid bouwbesluit toetsen","brandcompartimentering eisen; vluchtroute eisen bbl; brandveiligheid bim model; brandcompartiment grootte","MoFu","Problem->Solution","Aannemer","NL","N","Brandveiligheid is een van de zwaarste BBL-domeinen: compartimentsgroottes, rook- en brandscheidingen en vluchtroutelengtes moeten kloppen, maar worden vaak pas bij oplevering handmatig nagerekend. BimDossier bevat brandveiligheidsregels (compartimentgrootte, vluchtroutes, rookcompartimentering) in de compliance-engine die het federatieve IFC-model afspeurt en afwijkingen als bevinding terugkoppelt. Elke overtreding kan als finding aan het exacte IFC-element (global_id) worden gepind in de 3D-viewer."
"54","BCF collaboration","Why Your Snag Pinned to a 2D PDF Should Resolve to a 3D BIM Element (and the BCF Article Behind It)","2d snag linked to bim element","pdf snag to ifc element; drawing pinned snag bim; link finding to bbl article; model based snagging","BoFu","Thought-leadership","Aannemer","EN","Y","Field teams snag on 2D PDFs while coordinators work in 3D, so a drawing pin never connects to the model element or the rule it breaches. BimDossier already pins findings to IFC elements by global_id with photo evidence and a resolution lifecycle; the vision (in development) is a 2D PDF snag that auto-resolves to the same IFC element and auto-tags the relevant BBL/Wkb article. The post argues why this BCF-style fusion is the missing link between site snagging and model-based compliance."
"55","BIM for QA","BCF als brug tussen model en kwaliteit: hoe openBIM-issues straks je Wkb-bevindingen voeden","bcf wkb bevindingen","bcf 2.1 3.0 import export; openbim issue management wkb; bcf naar bevinding koppelen; model issue traceability","MoFu","Educational","BIM-manager","Both","Y","De uitdaging: coördinatie-issues leven in BCF binnen de ontwerptools, terwijl uitvoerings-bevindingen in losse kwaliteitssystemen zitten, waardoor de traceerbaarheid tussen modelissue en Wkb-bewijs breekt. BimDossier verankert bevindingen al aan IFC-elementen via global_id in de viewer; de visie (roadmap, backend ~90% klaar) is BCF 2.1/3.0 import/export zodat openBIM-issues en uitvoerings-bevindingen één keten worden. Eerlijk gekaderd als 'coming', maar het laat zien hoe BCF de standaard-brug wordt tussen modelcoördinatie en het kwaliteitsdossier."
"56","Wkb filings","Risicobeoordeling onder de Wkb: van risico naar borgingsmoment zonder gaten","risicobeoordeling wkb","borgingsmoment bepalen; risicobeoordeling bouw template; wkb risico borging koppelen","MoFu","Problem->Solution","Kwaliteitsborger","NL","N","De kwaliteitsborger moet elk geïdentificeerd risico vertalen naar een controleerbaar borgingsmoment - en juist daar ontstaan gaten waar later geen aantoonbare controle tegenover staat. BimDossier genereert risicobeoordeling én borgingsmomenten uit jurisdictie-templates en koppelt geconstateerde bevindingen (severity, foto-bewijs, IFC-element via global_id) terug aan die borgingsmomenten, zodat ieder risico aantoonbaar is afgedekt in het dossier."
"57","openBIM literacy","IFC2x3 vs IFC4: Which Schema Your Models Use and Why It Changes Your Coordination Workflow","ifc4 vs ifc2x3","IFC2x3 vs IFC4 differences; which IFC version to use; IFC schema comparison; IFC export settings","ToFu","Comparison","BIM-coordinator","EN","N","Coordinators silently inherit whichever IFC schema each consultant happens to export, then get burned when geometry, property sets or classification behave differently across IFC2x3 and IFC4 models in the same federation. This article compares the two schemas (entity model, property handling, geometry representation) and the practical export choices behind them, so teams stop debugging mystery differences. BimDossier detects and parses the IFC schema at upload (its IfcSchema handling in the extraction pipeline) and federates multi-discipline models of either version into one viewer scene, so coordinators can verify a mixed-schema model set visually instead of guessing why elements look wrong."
"58","Ops & digital","Wat kost de Wkb? Kosten van een kwaliteitsborger en Wkb-software op een rij","wat kost wkb","kosten kwaliteitsborger; wkb software prijs; kosten kwaliteitsborging bouw","BoFu","Educational","Aannemer","NL","N","Aannemers willen vóór adoptie weten wat de Wkb hen kost — borger, software en interne uren. Dit artikel maakt de kostenposten transparant en zet ze af tegen de kosten van een geweigerde gereedmelding of faalkosten. BimDossier is de software-laag die borger-uren en faalkosten terugdringt door deadlines, dossier en compliance te automatiseren. Feature: deadline tracker + dossier-checklist + compliance-engine."
"59","Field & snagging","Snagging-app zonder 3D-model versus model-aware bevindingenbeheer: wat mist je echt?","snagging app bouw","snagging app vergelijken; bevindingen app 3D model; model-aware snagging; digitale snaglijst","BoFu","Comparison","BIM-manager","NL","N","Een klassieke snagging-app pint gebreken op een platte tekening, waardoor de link met discipline, verdieping en het exacte object verloren gaat en BIM-coordinatoren handmatig moeten herleiden waar een punt zit. BimDossier verankert elk gebrek aan het federatieve IFC-model met storey isolation en display modes, zodat je een bevinding in context van het 3D-model terugvindt. De vergelijking laat zien dat de 3D IFC viewer met finding pins het verschil maakt tussen een platte snaglijst en model-aware kwaliteitsborging."
"60","Dossier & handover","Wat is een consumentendossier en wanneer ben je het als aannemer verplicht?","consumentendossier","consumentendossier verplicht; consumentendossier Wkb; consumentendossier inhoud; dossier oplevering particulier","ToFu","Educational","Aannemer","NL","Y","Veel aannemers verwarren het consumentendossier (voor de opdrachtgever) met het dossier bevoegd gezag (voor de gemeente) en weten niet welke garanties, tekeningen en certificaten erin horen. Dit definitionele artikel legt het onderscheid uit en de wettelijke basis onder de Wkb, en schetst hoe BimDossier beide dossiers uit één bron opbouwt via de gereedheidschecklist en de PDF-rapportgeneratie, met de consumentendossier-builder als aankomende functie op de roadmap."
"61","PDF<->IFC docs","PDF-metadata die je nooit leest: wat zit er in je tekening-bestanden en waarom telt het voor je dossier","pdf metadata bouwdocumenten","tekening metadata extractie; revisie datum pdf bouw; document audit bouw","ToFu","Educational","Werkvoorbereider","NL","N","PDF-tekeningen dragen verborgen metadata — aanmaakdatum, revisie, auteur — die cruciaal is om te bewijzen welke versie op welk moment gold, maar niemand pluist dit handmatig uit bij een dossiercontrole. BimDossier extraheert PDF-metadata automatisch tijdens upload en koppelt die aan het project, zodat de herkomst en revisie van elk document traceerbaar in het audit log staan. Dat maakt het verschil tussen een dossier dat de toets van het bevoegd gezag doorstaat en een dossier vol losse, ongedateerde bestanden."
"62","Field & snagging","Rework op de bouwplaats verminderen: de verborgen kosten van losse snaglijsten","rework voorkomen bim","faalkosten bouw verminderen; rework reduceren; herstelwerk bouw; kosten gebreken bouw","MoFu","Problem->Solution","Aannemer","NL","N","Faalkosten en rework ontstaan doordat een gebrek te laat, te vaag of zonder context wordt gemeld, waardoor de verkeerde partij het verkeerde element herstelt. BimDossier verlaagt rework door bevindingen met severity en assignee aan het exacte IFC-element te koppelen en de resolutie te bewaken, zodat de juiste onderaannemer direct weet wat waar fout zit. De audit log/activiteitenfeed maakt bovendien achteraf herleidbaar wanneer en door wie een gebrek is opgelost."
"63","Dossier & handover","Digitale oplevering met e-handtekening: zo lever je een Wkb-opleverdossier in één klik op","digitale oplevering","digitale oplevering bouw; e-handtekening oplevering; digitaal opleverdossier; oplevering Wkb digitaal","BoFu","Problem->Solution","Aannemer","NL","Y","Papieren opleveringen met losse handtekeningenlijsten zijn traag, fraudegevoelig en moeilijk te archiveren voor de 10-jarige aansprakelijkheid. Dit artikel schetst de overstap naar digitale oplevering en beschrijft BimDossiers visie op een digitale oplevering met e-handtekening en one-click Wkb-opleverdossier-handover (roadmap), voortbouwend op de al bestaande dossier-checklist, auditlog en PDF-rapportgeneratie die de basis vormen."
"64","BBL technical","Hoe een model-based BBL-toets eruitziet: van regelpakket naar overtreding per element","bbl toetsing bim","geautomatiseerde bouwbesluittoets; regelpakket bbl; automated code checking nederland; compliance engine bouw","MoFu","How-to","Kwaliteitsborger","NL","N","De grote vraag bij geautomatiseerd toetsen is hoe code-tekst betrouwbaar pass/fail per element wordt zonder een black box. BimDossier gebruikt per jurisdictie/raamwerk gestructureerde regelpakketten die de compliance-engine over het IFC-model draait en die per overtreden regel de getroffen elementen teruggeeft, traceerbaar naar het BBL-artikel. Dit artikel laat de keten regel -> model -> bevinding stap voor stap zien zodat de borger begrijpt waar de uitkomst vandaan komt."
"65","Wkb filings","Gevolgklasse 1 nu, CC2 en CC3 straks: zo bereid je je bouworganisatie voor op de Wkb-uitrol","gevolgklasse 1 wkb","wkb cc2 cc3 uitrol; gevolgklassen bouw; wkb fasering invoering","ToFu","Thought-leadership","Opdrachtgever","NL","N","De Wkb begon met gevolgklasse 1, maar de gefaseerde uitrol naar CC2 en CC3 maakt complexere bouwwerken straks borgingsplichtig - bedrijven die hun proces alleen ad-hoc op CC1 inrichten lopen vast bij opschaling. BimDossier bouwt borgingsplan-, deadline- en dossier-logica op jurisdictie-/framework-rulepacks die per gevolgklasse en bouwwerktype verschillen, zodat dezelfde werkwijze meeschaalt naarmate zwaardere gevolgklassen onder de Wkb gaan vallen."
"66","BIM for QA","What is model-based compliance checking? Automated IFC validation against building codes explained","model-based compliance","ifc compliance check; automated code checking bim; ifc model validation; rule-based bim checking","MoFu","Educational","BIM-manager","EN","N","The challenge: teams treat building-code compliance as a manual document review disconnected from the IFC model, so violations surface late and are hard to trace back to a specific element or clause. This explains how model-based compliance works and shows how BimDossier's automated BBL/Wkb compliance engine runs rule packs (per jurisdiction/framework) against the IFC model and returns violations per rule. It frames the openBIM angle (IFC/ISO 16739, IDS) so an international BIM audience sees how rule-driven validation generalises beyond the Dutch Wkb."
"67","BCF collaboration","From Clash Detection to Resolution: Turning Clash Reports Into Tracked, Assigned BIM Issues","clash detection workflow bim","clash detection to issue tracking; manage clashes bim; clash report follow up; ifc clash coordination","MoFu","Problem->Solution","BIM-coordinator","EN","N","Clash detection tools produce hundreds of clashes but stop at a report; the real failure is the gap between detecting a clash and proving someone fixed it. BimDossier picks up after detection: each clash becomes a finding pinned to the offending IFC element with an assignee, severity and a draft->open->resolved->verified lifecycle plus photo evidence. The post shows how to triage a clash list into accountable issues instead of a dead PDF."
"68","openBIM literacy","Why IFC Model Validation Matters Before You Build: Catching Bad Data Before It Becomes a Site Defect","IFC model validation","BIM model quality check; validate IFC before construction; model checking openBIM; IFC data quality","MoFu","Problem->Solution","BIM-manager","EN","N","An IFC model that looks fine in a viewer can still be missing the properties, geometry integrity or identifiers that downstream QA and regulatory checks depend on, and the cost of that gap lands on site. This article frames model validation as the bridge between authoring and execution. BimDossier acts on validated data: when a model is uploaded it parses the IFC header and element data, surfaces it in the viewer, and runs its automated BBL/Wkb compliance engine against it, so structural data gaps show up as rule violations before they become physical defects rather than after."
"69","Quantity takeoff","IFC2x3 vs IFC4 for quantity takeoff: which schema gives you reliable base quantities","ifc2x3 vs ifc4 takeoff","ifc4 base quantities; ifc schema takeoff difference; openbiim qto schema; ifc export schema estimating","MoFu","Comparison","BIM-manager","EN","N","Teams receiving models in mixed IFC2x3 and IFC4 exports get inconsistent quantity coverage because base-quantity conventions and pset naming differ between schemas, breaking a unified takeoff. This post compares the two for QTO reliability and how to standardise exports. BimDossier detects the IFC schema on ingest and runs the same property/quantity extraction across both, surfacing the detected schema in Model Info so estimators know which convention a given model follows; the feature is the schema-aware extraction pipeline."
"70","Ops & digital","Going paperless on site: vervang je snagging-clipboard door pins op het IFC-model","digitaal snaggen bouwplaats","papierloos opnemen bouw; digitale bevindingen app; snagging bim model; mobiele inspectie app bouw","ToFu","Problem->Solution","Werkvoorbereider","NL","N","Bevindingen die op de bouwplaats op papier of in losse foto's worden vastgelegd, raken hun context kwijt zodra ze het kantoor bereiken — niemand weet meer exact welk element het betrof. BimDossier laat de uitvoerder via de mobiele inspectie-app on-site snaggen met de ingebedde viewer, waarbij elke bevinding direct aan een IFC-element wordt verankerd en in de resolutie-lifecycle belandt. Specifieke feature: mobiele inspectie-app (RN/Expo) met embedded viewer + IFC-element-gekoppelde bevindingen."
"71","PDF<->IFC docs","Documentchaos op de bouwplaats: hoe versiebeheer van tekeningen je Wkb-dossier sloopt","versiebeheer tekeningen bouw","construction document management; document versie chaos bouw; tekening versiebeheer wkb","MoFu","Problem->Solution","Werkvoorbereider","NL","N","Wanneer er op de bouwplaats wordt gewerkt op een verouderde PDF-revisie terwijl het IFC-model al is bijgesteld, lopen bevindingen, maatvoering en uiteindelijk het dossier bevoegd gezag uit de pas. BimDossier centraliseert documenten en bevindingen per project met audit log en activity feed, zodat elke wijziging traceerbaar is. De dossier-readiness checklist gate't bovendien op % volledigheid, zodat een dossier niet op een achterhaalde tekening wordt opgeleverd."
"72","Ops & digital","De verborgen aansprakelijkheidsrisico's van verlopen certificaten onder de 10-jaars Wkb-aansprakelijkheid","verlopen certificaten aansprakelijkheid","verlopen certificaat aansprakelijkheid; 10 jaar aansprakelijkheid bouw; certificatenbeheer aannemer; geldigheid certificaat bewaken","MoFu","Problem->Solution","Aannemer","NL","N","Onder de Wkb loopt de aannemer tot 10 jaar aansprakelijkheid, en een product- of personeelscertificaat dat tijdens uitvoering blijkt te zijn verlopen ondermijnt zowel de borging als de bewijspositie achteraf. BimDossier bewaakt geldigheid met certificaatbeheer inclusief expiry-tracking en automatische verlengingsherinneringen, zodat verlopen documenten zichtbaar zijn vóór ze in het opleverdossier terechtkomen. Specifieke feature: certificate management met expiry-tracking + renewal reminders."
"73","openBIM literacy","What Is IFC? A Plain-English Guide to the openBIM Format Every Contractor Should Understand","what is IFC","IFC file format; IFC BIM explained; ISO 16739; openBIM format","ToFu","Educational","BIM-manager","EN","N","Teams receive IFC files from architects and structural engineers but treat them as opaque exports they can only view, never act on, so the data stays trapped. This guide explains IFC (ISO 16739) as a vendor-neutral schema of objects, properties and relationships, then shows how BimDossier turns that schema into something usable: its 3D IFC viewer (ThatOpen + Three.js) loads federated multi-discipline models with storey isolation and section planes, and the extraction pipeline reads the IFC element tree so each global_id can later anchor a finding pin. The takeaway: IFC is not just a file you open, it is the data backbone an execution-phase QA platform can build on."
"74","Field & snagging","Mobiel werken op de bouwplaats: inspecteren in de 3D-viewer vanaf je telefoon","mobiel inspecteren bouw","mobiele inspectie app; bouwplaats app 3D viewer; inspectie app telefoon; bevindingen onderweg","MoFu","Educational","Uitvoerder","NL","N","Op de bouwplaats hebben uitvoerders zelden een laptop bij de hand en moeten ze bevindingen vaak achteraf inkloppen, met fouten en vertraging tot gevolg. BimDossier biedt een mobiele inspectie-app (RN/Expo) met een ingebedde 3D-viewer, zodat je ter plekke een element in het model aanwijst en daar direct een bevinding aan vastpint. Daarmee verschuift de registratie van kantoor terug naar het moment en de plek waar het gebrek wordt geconstateerd."
"75","BCF collaboration","BCF vs Email and Excel: Why Issue Lists Belong in Your BIM Model, Not Your Inbox","bcf vs excel issue tracking","bim issue tracking spreadsheet; model based issue management; stop tracking snags in email; bcf workflow","MoFu","Problem->Solution","BIM-coordinator","EN","N","Spreadsheet issue logs lose the model context the moment they leave the coordination meeting: nobody can find element X from row 47. BimDossier replaces the email-and-Excel loop with findings that live on the model itself, each pinned to an IFC element global_id with severity, assignee and a resolution lifecycle. The post contrasts a lost-in-translation Excel row with a one-click jump to the pinned element in the federated 3D viewer."
"76","Dossier & handover","Opleverdossier samenstellen onder de Wkb: complete checklist voor aannemers (2026)","opleverdossier Wkb","opleverdossier samenstellen; dossier bevoegd gezag; gereedmelding dossier; opleverdossier checklist","BoFu","How-to","Aannemer","NL","N","Aannemers struikelen bij de gereedmelding omdat het opleverdossier verspreid zit over mappen, mailtjes en losse PDF's en pas op het laatste moment compleet blijkt te zijn. Dit artikel loopt stap voor stap door welke documenten het dossier bevoegd gezag verplicht bevat onder de Wkb en laat zien hoe BimDossier dit borgt met de dossier-gereedheidschecklist (template per gebouwtype/jurisdictie) die het gereedheidspercentage bijhoudt en gereedmelding pas vrijgeeft bij 100% compleetheid."
"77","BBL technical","Constructieve veiligheid en BIM: welke BBL-eisen kun je geautomatiseerd uit het model toetsen?","constructieve veiligheid bbl","constructieve veiligheid eisen; valbeveiliging bbl; model based structural check; gevolgklasse 1 constructie","MoFu","Educational","Constructeur","NL","N","Volledige constructieve berekeningen blijven mensenwerk, maar veel BBL-randvoorwaarden (valbeveiliging, hoogteverschillen, materiaal-brandgedrag) zijn geometrisch en dus modelmatig te checken. BimDossier toetst die geometrische constructie-randvoorwaarden uit het IFC-model met de compliance-engine en is eerlijk over wat wel en niet automatiseerbaar is. Zo focust de constructeur zijn handmatige beoordeling op de echt complexe punten."
"78","Quantity takeoff","Van hoeveelheden naar kostenraming: het IFC-model als bron in plaats van losse spreadsheets","kostenraming uit bim model","calculatie uit ifc; hoeveelheden naar begroting; model based estimating; bim calculatie nederland","MoFu","Problem->Solution","Werkvoorbereider","NL","Y","Calculators trekken hoeveelheden handmatig over in losse spreadsheets, waardoor elke modelwijziging een foutgevoelige overtikexercitie wordt en de raming loskoppelt van het model. De visie van BimDossier (BIMQuantify, roadmap) is geautomatiseerde takeoff rechtstreeks uit IFC zodat hoeveelheden meebewegen met het model. Vandaag al beschikbaar: de extractiepijplijn leest Qto-quantities en eigenschappen per element met de juiste lengte-eenheid uit het model, zodat de basisdata voor calculatie consistent en herleidbaar uit het IFC komt in plaats van uit losse tellingen."
"79","Wkb filings","Wat moet er echt in een borgingsplan? Een praktische opbouw onder de Wkb","borgingsplan wkb","borgingsplan opstellen; borgingsplan voorbeeld; inhoud borgingsplan kwaliteitsborger","MoFu","Educational","Kwaliteitsborger","NL","N","Het borgingsplan is de ruggengraat van de Wkb-borging, maar elke kwaliteitsborger worstelt met een consistente, volledige opbouw die risicobeoordeling, borgingsmomenten en het bouwwerktype dekt. BimDossier genereert een borgingsplan en risicobeoordeling uit jurisdictie-templates per bouwwerktype en levert daar een verklaring-klare borgingsplan-PDF bij, zodat de structuur standaard klopt en alleen de projectspecifieke invulling nog menselijk werk is."
"80","BIM for QA","Beste Wkb-software in 2026: waar je op let bij kwaliteitsborgings- en dossiersoftware","beste wkb software","wkb software vergelijken 2026; kwaliteitsborging software; opleverdossier software","BoFu","Comparison","Aannemer","NL","N","Bij het kiezen van Wkb-software vergelijken kopers functies die zelden naast elkaar staan: deadlinebewaking, dossieropbouw, bevindingen én — uniek — een 3D-IFC-viewer met geautomatiseerde toetsing. Deze roundup geeft een keuzekader en laat zien waar BimDossier zich onderscheidt: model-gekoppelde bevindingen plus een BBL/Wkb-compliance-engine die snagging-only tools missen. Feature: 3D-viewer + compliance-engine + dossier-checklist."
"81","Dossier & handover","Closing the project under the Dutch Wkb: a digital handover dossier for openBIM teams","digital handover dossier construction","openBIM handover; BCF handover Wkb; IFC as-built dossier; digital building handover Netherlands","ToFu","Thought-leadership","BIM-manager","EN","N","International openBIM teams working on Dutch projects struggle to turn federated IFC models and BCF coordination history into a regulator-ready handover dossier that satisfies the Wkb gereedmelding. This piece frames the gap between coordination data and a filing-ready dossier and shows how BimDossier bridges it: IFC-anchored findings, the dossier-readiness checklist and auto-generated compliance PDFs today, with BCF 2.1/3.0 import/export and one-click opleverdossier handover on the roadmap to complete the openBIM-to-handover chain."
"82","Wkb filings","Bouwmelding indienen onder de Wkb: de 4-wekentermijn en hoe je hem nooit mist","bouwmelding indienen","bouwmelding 4 weken; bouwmelding Omgevingsloket; bouwmelding termijn Wkb","MoFu","How-to","Aannemer","NL","N","Onder de Wkb moet de aannemer de bouwmelding minimaal 4 weken voor start uitvoering indienen, anders mag je niet beginnen - een termijn die handmatig in een planning gemakkelijk wegglipt. BimDossier berekent de bouwmelding-deadline automatisch vanaf de geplande startdatum met Nederlandse werkdag- en feestdaglogica en stuurt T-30/-14/-7/-1 e-mailreminders. De deadline tracker en het projectwizard met PDOK-adresinvoer zorgen dat de 4-wekentermijn vanaf dag één correct in beeld staat."
